      134862         247
  -2662.90848327918       -3022.38336436190       -3437.47168469127     
  -3902.84289080545       -4429.99969495671       -5044.38568846000     
  -5727.28927758655       -6503.81327104308       -7274.74959322565     
  -7281.80036721144       -6549.52100473646       -5788.10381643905     
  -5117.76819361694       -4537.91614461236       -4018.60259918951     
  -3555.02654465949       -3197.64150539482       -3197.63934550769     
  -3555.02028271438       -4018.59243925089       -4537.90229878511     
  -5117.75084177342       -5788.08316019835       -6549.49722231162     
  -7281.77398777469       -7236.29420534107       -6237.45893167761     
  -5252.51407974176       -4428.18253283571       -3743.64331961962     
  -3150.10212699398       -2660.71294101221       -2244.69206043561     
  -1892.49062134072       -1597.65773086186       -1346.97261601489     
  -1161.02767712270       -1161.02592273018       -1346.96759927526     
  -1597.64967139056       -1892.47973725670       -2244.67856641692     
  -2660.69702316870       -3150.08393222621       -3743.62306341951     
  -4428.16029124552       -5252.49003347552       -6237.43321453586     
  -7236.26746552174       -7281.74558189299       -6549.46682020138     
  -5790.53464011241       -5130.51674084742       -4539.69870649976     
  -4018.55431074067       -3554.97978939859       -3148.64995929593     
  -2788.42755363846       -2469.44473236788       -2187.29150396646     
  -1935.44313096077       -1712.25943907813       -1517.99199111603     
  -1342.91915069449       -1188.31882072070       -1052.37951850562     
  -931.856578284909       -824.674526839619       -730.597900858485     
  -646.361707650952       -572.617609713637       -506.608171133153     
  -448.722877629066       -397.167445959440       -351.699609533046     
  -311.368259993446       -275.644343958071       -243.973964070491     
  -215.979717554399       -191.274371895714       -169.354733459805     
  -149.893009346109       -132.682501898471       -117.516137242209     
  -104.009269493222       -92.0736446670212       -81.5433514623818     
  -72.1731371054757       -63.8910241431268       -56.5741366431902     
  -50.0854746742023       -44.3365452230018       -39.2561863819276     
  -34.7597648571608       -30.7674338195622       -27.2376231196207     
  -24.1182414451835       -21.3487816386473       -18.9011511295789     
  -16.7355798977183       -14.8146306790467       -13.1161832676826     
  -11.6125493167679       -10.2800201323290       -9.10114099170372     
  -8.05801941729518       -7.13348024328200       -6.31571171749580     
  -5.59120300356567       -4.95020986736164       -4.38235536493408     
  -3.87969467907258       -3.43489281529197       -3.04094849747658     
  -2.69221795425782       -2.38341678922195       -2.11014860067857     
  -1.86813036177621       -1.65389863993203       -1.46419034971780     
  -1.29628148516139       -1.14763759514484       -1.01603026386040     
 -0.899493196406348      -0.796329393222025      -0.705014886971904     
 -0.624169418656949      -0.552579844634612      -0.489207282849535     
 -0.433103606659852      -0.383430089831961      -0.339457548713928     
 -0.300527350322632      -0.266061892670602      -0.235549965000245     
 -0.208535853315651      -0.184618518617077      -0.163446652238484     
 -0.144700828289896      -0.128106586426961      -0.113414064991197     
 -0.100407328199040      -8.889264514295532E-002 -7.869772554085927E-002
 -6.967180768468553E-002 -6.168143196931735E-002 -5.460791569892336E-002
 -4.834486082774789E-002 -4.280047844703001E-002 -3.789181313956056E-002
 -3.354620753727953E-002 -2.969895968450052E-002 -2.629279014748556E-002
 -2.327746540340793E-002 -2.060783841261350E-002 -1.824439738780496E-002
 -1.615201757555265E-002 -1.429957581430468E-002 -1.265963992585792E-002
 -1.120777407153718E-002 -9.922374630207731E-003 -8.784391406456545E-003
 -7.776967655006998E-003 -6.885047706363219E-003 -6.095425190365691E-003
 -5.396357649778349E-003 -4.777472912452843E-003 -4.229566408809352E-003
 -3.744489666811165E-003 -3.315045274274485E-003 -2.934852341315541E-003
 -2.598263017395921E-003 -2.300279124259589E-003 -2.036468316854338E-003
 -1.802913277293740E-003 -1.596142484068259E-003 -1.413085754870682E-003
 -1.251022598058835E-003 -1.107548650688829E-003 -9.805265247098969E-004
 -8.680740534357384E-004  0.000000000000000E+000  -1.76475358935562     
  -3.52075513516502       -3.91068508283484       -3.88757483532688     
  -3.87089804963752       -3.83545026898358       -3.86159847645917     
  -3.86532233790381       -3.86376552125063       -3.86265063830230     
  -3.86182490231660       -3.86119629351763       -3.86070669676689     
  -3.85433758441887       -3.82432563580464       -3.85376620724373     
  -3.85953282237761       -3.85935435407245       -2.69354885656006     
 -0.493328799615555      -0.393988860464857      -0.377695619837019     
 -0.529971850360131       -2674619.89795072       -4559725.73137213     
  -4657032.42639747       -13929.8352981420       -4404.98047228246     
  -3828.91921859002       -4309.38652166037       -4934.85900552378     
  -5647.87153136751       -6457.87144575189       -7269.66705318826     
  -7276.52027857923       -6505.44499954850       -5728.76557762276     
  -5045.71664939090       -4431.19840940087       -3903.91683118967     
  -3438.43091228659       -3023.23750078533       -2663.66475446405     
  -2347.41999653770       -2061.80774969866       -1815.35266574499     
  -1599.03126279160       -1407.45238075702       -1239.42774110723     
  -1090.31488077827       -959.279953734814       -844.064057221037     
  -743.813176996714       -664.864153459709       -664.835986290527     
  -743.730863939292       -843.927798283823       -959.089261214690     
  -1090.06796941413       -1239.12208768228       -1407.08432770781     
  -1598.59682774632       -1814.84674161883       -2061.22451791650     
  -2346.75429047897       -2662.90848327918       -3022.38336436190     
  -3437.47168469127       -3902.84289080545       -4429.99969495671     
  -5044.38568846000       -5727.28927758655       -6503.81327104308     
  -7274.74959322565       -7281.80036721144       -6549.52100473646     
  -5788.10381643905       -5117.76819361694       -4537.91614461236     
  -4018.60259918951       -3555.02654465949       -3197.64150539482     
  -3197.63934550769       -3555.02028271438       -4018.59243925089     
  -4537.90229878511       -5117.75084177342       -5788.08316019835     
  -6549.49722231162       -7281.77398777469       -7236.29420534107     
  -6237.45893167761       -5252.51407974176       -4428.18253283571     
  -3743.64331961962       -3150.10212699398       -2660.71294101221     
  -2244.69206043561       -1892.49062134072       -1597.65773086186     
  -1346.97261601489       -1161.02767712270       -1161.02592273018     
  -1346.96759927526       -1597.64967139056       -1892.47973725670     
  -2244.67856641692       -2660.69702316870       -3150.08393222621     
  -3743.62306341951       -4428.16029124552       -5252.49003347552     
  -6237.43321453586       -7236.26746552174       -7281.74558189299     
  -6549.46682020138       -5790.53464011241       -5130.51674084742     
  -4539.69870649976       -4018.55431074067       -3554.97978939859     
  -3148.64995929593       -2788.42755363846       -2469.44473236788     
  -2187.29150396646       -1935.44313096077       -1712.25943907813     
  -1517.99199111603       -1342.91915069449       -1188.31882072070     
  -1052.37951850562       -931.856578284909       -824.674526839619     
  -730.597900858485       -646.361707650952       -572.617609713637     
  -506.608171133153       -448.722877629066       -397.167445959440     
  -351.699609533046       -311.368259993446       -275.644343958071     
  -243.973964070491       -215.979717554399       -191.274371895714     
  -169.354733459805       -149.893009346109       -132.682501898471     
  -117.516137242209       -104.009269493222       -92.0736446670212     
  -81.5433514623818       -72.1731371054757       -63.8910241431268     
  -56.5741366431902       -50.0854746742023       -44.3365452230018     
  -39.2561863819275       -34.7597648571608       -30.7674338195622     
  -27.2376231196207       -24.1182414451835       -21.3487816386473     
  -18.9011511295789       -16.7355798977183       -14.8146306790467     
  -13.1161832676826       -11.6125493167679       -10.2800201323290     
  -9.10114099170372       -8.05801941729518       -7.13348024328200     
  -6.31571171749580       -5.59120300356567       -4.95020986736164     
  -4.38235536493408       -3.87969467907258       -3.43489281529197     
  -3.04094849747658       -2.69221795425782       -2.38341678922195     
  -2.11014860067858       -1.86813036177621       -1.65389863993203     
  -1.46419034971780       -1.29628148516139       -1.14763759514484     
  -1.01603026386040      -0.899493196406348      -0.796329393222025     
 -0.705014886971904      -0.624169418656949      -0.552579844634612     
 -0.489207282849535      -0.433103606659852      -0.383430089831961     
 -0.339457548713928      -0.300527350322632      -0.266061892670602     
 -0.235549965000245      -0.208535853315651      -0.184618518617077     
 -0.163446652238484      -0.144700828289896      -0.128106586426961     
 -0.113414064991197      -0.100407328199040      -8.889264514295531E-002
 -7.869772554085928E-002 -6.967180768468553E-002 -6.168143196931734E-002
 -5.460791569892336E-002 -4.834486082774789E-002 -4.280047844703001E-002
 -3.789181313956056E-002 -3.354620753727953E-002 -2.969895968450052E-002
 -2.629279014748556E-002 -2.327746540340793E-002 -2.060783841261350E-002
 -1.824439738780496E-002 -1.615201757555265E-002 -1.429957581430468E-002
 -1.265963992585792E-002 -1.120777407153719E-002 -9.922374630207729E-003
 -8.784391406456546E-003 -7.776967655006997E-003 -6.885047706363218E-003
 -6.095425190365692E-003 -5.396357649778349E-003 -4.777472912452843E-003
 -4.229566408809352E-003 -3.744489666811165E-003 -3.315045274274485E-003
 -2.934852341315541E-003 -2.598263017395921E-003 -2.300279124259588E-003
 -2.036468316854338E-003 -1.802913277293740E-003 -1.596142484068259E-003
 -1.413085754870681E-003 -1.251022598058835E-003 -1.107548650688828E-003
 -9.805265247098971E-004 -8.680740534357384E-004  0.000000000000000E+000
  -1.76475358935562       -3.52075513516502       -3.91068508283484     
  -3.88757483532688       -3.87089804963752       -3.83545026898358     
  -3.86159847645917       -3.86532233790381       -3.86376552125063     
  -3.86265063830230       -3.86182490231660       -3.86119629351763     
  -3.86070669676689       -3.85433758441887       -3.82432563580464     
  -3.85376620724373       -3.85953282237761       -3.85935435407245     
  -2.69354885656006      -0.493328799615555      -0.393988860464857     
 -0.377695619837019      -0.529971850360131       -2674619.89795072     
  -4559725.73137213       -4657032.42639747       -13929.8352981420     
  -4404.98047228246       -3828.91921859002       -4309.38652166037     
  -4934.85900552378       -5647.87153136751       -6457.87144575189     
  -7269.66705318826       -7276.52027857923       -6505.44499954850     
  -5728.76557762276       -5045.71664939090       -4431.19840940087     
  -3903.91683118967       -3438.43091228659       -3023.23750078533     
  -2663.66475446405       -2347.41999653770       -2061.80774969866     
  -1815.35266574499       -1599.03126279160       -1407.45238075702     
  -1239.42774110723       -1090.31488077827       -959.279953734814     
  -844.064057221037       -743.813176996714       -664.864153459709     
  -664.835986290527       -743.730863939292       -843.927798283823     
  -959.089261214690       -1090.06796941413       -1239.12208768228     
  -1407.08432770781       -1598.59682774632       -1814.84674161883     
  -2061.22451791650       -2346.75429047897       -2662.90848327918     
  -3022.38336436190       -3437.47168469127       -3902.84289080545     
  -4429.99969495671       -5044.38568846000       -5727.28927758655     
  -6503.81327104308       -7274.74959322565       -7281.80036721144     
  -6549.52100473646       -5788.10381643905       -5117.76819361694     
  -4537.91614461236       -4018.60259918951       -3555.02654465949     
  -3197.64150539482       -3197.63934550769       -3555.02028271438     
  -4018.59243925089       -4537.90229878511       -5117.75084177342     
  -5788.08316019835       -6549.49722231162       -7281.77398777469     
  -7236.29420534107       -6237.45893167761       -5252.51407974176     
  -4428.18253283571       -3743.64331961962       -3150.10212699398     
  -2660.71294101221       -2244.69206043561       -1892.49062134072     
  -1597.65773086186       -1346.97261601489       -1161.02767712270     
  -1161.02592273018       -1346.96759927526       -1597.64967139056     
  -1892.47973725670       -2244.67856641692       -2660.69702316870     
  -3150.08393222621       -3743.62306341951       -4428.16029124552     
  -5252.49003347552       -6237.43321453586       -7236.26746552174     
  -7281.74558189299       -6549.46682020138       -5790.53464011241     
  -5130.51674084742       -4539.69870649976       -4018.55431074067     
  -3554.97978939859       -3148.64995929593       -2788.42755363846     
  -2469.44473236788       -2187.29150396646       -1935.44313096077     
  -1712.25943907813       -1517.99199111603       -1342.91915069449     
  -1188.31882072070       -1052.37951850562       -931.856578284909     
  -824.674526839619       -730.597900858485       -646.361707650952     
  -572.617609713637       -506.608171133153       -448.722877629066     
  -397.167445959440       -351.699609533046       -311.368259993446     
  -275.644343958071       -243.973964070491       -215.979717554399     
  -191.274371895714       -169.354733459805       -149.893009346109     
  -132.682501898471       -117.516137242209       -104.009269493222     
  -92.0736446670212       -81.5433514623818       -72.1731371054757     
  -63.8910241431268       -56.5741366431902       -50.0854746742023     
  -44.3365452230018       -39.2561863819276       -34.7597648571608     
  -30.7674338195622       -27.2376231196207       -24.1182414451835     
  -21.3487816386473       -18.9011511295789       -16.7355798977183     
  -14.8146306790467       -13.1161832676826       -11.6125493167679     
  -10.2800201323290       -9.10114099170371       -8.05801941729518     
  -7.13348024328200       -6.31571171749580       -5.59120300356567     
  -4.95020986736164       -4.38235536493408       -3.87969467907258     
  -3.43489281529197       -3.04094849747658       -2.69221795425782     
  -2.38341678922195       -2.11014860067858       -1.86813036177621     
  -1.65389863993203       -1.46419034971780       -1.29628148516139     
  -1.14763759514484       -1.01603026386040      -0.899493196406348     
 -0.796329393222025      -0.705014886971904      -0.624169418656949     
 -0.552579844634612      -0.489207282849535      -0.433103606659852     
 -0.383430089831961      -0.339457548713928      -0.300527350322632     
 -0.266061892670602      -0.235549965000245      -0.208535853315651     
 -0.184618518617077      -0.163446652238484      -0.144700828289896     
 -0.128106586426961      -0.113414064991197      -0.100407328199040     
 -8.889264514295532E-002 -7.869772554085927E-002 -6.967180768468555E-002
 -6.168143196931734E-002 -5.460791569892336E-002 -4.834486082774789E-002
 -4.280047844703001E-002 -3.789181313956056E-002 -3.354620753727953E-002
 -2.969895968450052E-002 -2.629279014748556E-002 -2.327746540340793E-002
 -2.060783841261350E-002 -1.824439738780496E-002 -1.615201757555265E-002
 -1.429957581430468E-002 -1.265963992585792E-002 -1.120777407153718E-002
 -9.922374630207731E-003 -8.784391406456546E-003 -7.776967655006998E-003
 -6.885047706363217E-003 -6.095425190365690E-003 -5.396357649778349E-003
 -4.777472912452843E-003 -4.229566408809352E-003 -3.744489666811165E-003
 -3.315045274274485E-003 -2.934852341315541E-003 -2.598263017395921E-003
 -2.300279124259588E-003 -2.036468316854338E-003 -1.802913277293740E-003
 -1.596142484068259E-003 -1.413085754870682E-003 -1.251022598058835E-003
 -1.107548650688828E-003 -9.805265247098969E-004 -8.680740534357385E-004
  0.000000000000000E+000  -1.76475358935562       -3.52075513516502     
  -3.91068508283484       -3.88757483532688       -3.87089804963752     
  -3.83545026898357       -3.86159847645917       -3.86532233790381     
  -3.86376552125063       -3.86265063830230       -3.86182490231660     
  -3.86119629351763       -3.86070669676689       -3.85433758441887     
  -3.82432563580464       -3.85376620724373       -3.85953282237761     
  -3.85935435407245       -2.69354885656006      -0.493328799615555     
 -0.393988860464857      -0.377695619837019      -0.529971850360131     
  -2674619.89795072       -4559725.73137213       -4657032.42639747     
  -13929.8352981420       -4404.98047228246       -3828.91921859002     
  -4309.38652166037       -4934.85900552378       -5647.87153136751     
  -6457.87144575189       -7269.66705318826       -7276.52027857923     
  -6505.44499954850       -5728.76557762276       -5045.71664939090     
  -4431.19840940087       -3903.91683118967       -3438.43091228659     
  -3023.23750078533       -2663.66475446405       -2347.41999653770     
  -2061.80774969866       -1815.35266574499       -1599.03126279160     
  -1407.45238075702       -1239.42774110723       -1090.31488077827     
  -959.279953734814       -844.064057221037       -743.813176996714     
  -664.864153459709       -664.835986290527       -743.730863939292     
  -843.927798283823       -959.089261214690       -1090.06796941413     
  -1239.12208768228       -1407.08432770781       -1598.59682774632     
  -1814.84674161883       -2061.22451791650       -2346.75429047897     
  -2662.90848327918       -3022.38336436190       -3437.47168469127     
  -3902.84289080545       -4429.99969495671       -5044.38568846000     
  -5727.28927758655       -6503.81327104308       -7274.74959322565     
  -7281.80036721144       -6549.52100473646       -5788.10381643905     
  -5117.76819361694       -4537.91614461236       -4018.60259918951     
  -3555.02654465949       -3197.64150539482       -3197.63934550769     
  -3555.02028271438       -4018.59243925089       -4537.90229878511     
  -5117.75084177342       -5788.08316019835       -6549.49722231162     
  -7281.77398777469       -7236.29420534107       -6237.45893167761     
  -5252.51407974176       -4428.18253283571       -3743.64331961962     
  -3150.10212699398       -2660.71294101221       -2244.69206043561     
  -1892.49062134072       -1597.65773086186       -1346.97261601489     
  -1161.02767712270       -1161.02592273018       -1346.96759927526     
  -1597.64967139056       -1892.47973725670       -2244.67856641692     
  -2660.69702316870       -3150.08393222621       -3743.62306341951     
  -4428.16029124552       -5252.49003347552       -6237.43321453586     
  -7236.26746552174       -7281.74558189299       -6549.46682020138     
  -5790.53464011241       -5130.51674084742       -4539.69870649976     
  -4018.55431074067       -3554.97978939859       -3148.64995929593     
  -2788.42755363846       -2469.44473236788       -2187.29150396646     
  -1935.44313096077       -1712.25943907813       -1517.99199111603     
  -1342.91915069449       -1188.31882072070       -1052.37951850562     
  -931.856578284909       -824.674526839619       -730.597900858485     
  -646.361707650953       -572.617609713637       -506.608171133153     
  -448.722877629066       -397.167445959440       -351.699609533046     
  -311.368259993446       -275.644343958071       -243.973964070491     
  -215.979717554399       -191.274371895714       -169.354733459805     
  -149.893009346109       -132.682501898471       -117.516137242209     
  -104.009269493222       -92.0736446670212       -81.5433514623818     
  -72.1731371054757       -63.8910241431268       -56.5741366431902     
  -50.0854746742023       -44.3365452230018       -39.2561863819275     
  -34.7597648571608       -30.7674338195622       -27.2376231196208     
  -24.1182414451835       -21.3487816386473       -18.9011511295789     
  -16.7355798977183       -14.8146306790467       -13.1161832676826     
  -11.6125493167679       -10.2800201323290       -9.10114099170372     
  -8.05801941729518       -7.13348024328200       -6.31571171749580     
  -5.59120300356567       -4.95020986736164       -4.38235536493408     
  -3.87969467907258       -3.43489281529197       -3.04094849747658     
  -2.69221795425782       -2.38341678922195       -2.11014860067858     
  -1.86813036177621       -1.65389863993203       -1.46419034971780     
  -1.29628148516139       -1.14763759514484       -1.01603026386040     
 -0.899493196406348      -0.796329393222025      -0.705014886971904     
 -0.624169418656949      -0.552579844634612      -0.489207282849535     
 -0.433103606659852      -0.383430089831961      -0.339457548713928     
 -0.300527350322632      -0.266061892670602      -0.235549965000245     
 -0.208535853315651      -0.184618518617077      -0.163446652238484     
 -0.144700828289896      -0.128106586426961      -0.113414064991197     
 -0.100407328199040      -8.889264514295532E-002 -7.869772554085928E-002
 -6.967180768468555E-002 -6.168143196931734E-002 -5.460791569892336E-002
 -4.834486082774789E-002 -4.280047844703001E-002 -3.789181313956057E-002
 -3.354620753727953E-002 -2.969895968450052E-002 -2.629279014748556E-002
 -2.327746540340793E-002 -2.060783841261350E-002 -1.824439738780496E-002
 -1.615201757555265E-002 -1.429957581430468E-002 -1.265963992585792E-002
 -1.120777407153719E-002 -9.922374630207729E-003 -8.784391406456545E-003
 -7.776967655006998E-003 -6.885047706363218E-003 -6.095425190365690E-003
 -5.396357649778349E-003 -4.777472912452843E-003 -4.229566408809352E-003
 -3.744489666811165E-003 -3.315045274274485E-003 -2.934852341315541E-003
 -2.598263017395921E-003 -2.300279124259588E-003 -2.036468316854338E-003
 -1.802913277293740E-003 -1.596142484068259E-003 -1.413085754870681E-003
 -1.251022598058835E-003 -1.107548650688828E-003 -9.805265247098969E-004
 -8.680740534357384E-004  0.000000000000000E+000  -1.76475358935562     
  -3.52075513516502       -3.91068508283484       -3.88757483532688     
  -3.87089804963752       -3.83545026898358       -3.86159847645917     
  -3.86532233790381       -3.86376552125063       -3.86265063830230     
  -3.86182490231660       -3.86119629351763       -3.86070669676689     
  -3.85433758441887       -3.82432563580464       -3.85376620724373     
  -3.85953282237761       -3.85935435407245       -2.69354885656006     
 -0.493328799615555      -0.393988860464857      -0.377695619837019     
 -0.529971850360131       -2674619.89795072       -4559725.73137213     
  -4657032.42639747       -13929.8352981420       -4404.98047228246     
  -3828.91921859002       -4309.38652166037       -4934.85900552378     
  -5647.87153136751       -6457.87144575189       -7269.66705318826     
  -7276.52027857923       -6505.44499954850       -5728.76557762276     
  -5045.71664939090       -4431.19840940087       -3903.91683118967     
  -3438.43091228659       -3023.23750078533       -2663.66475446405     
  -2347.41999653770       -2061.80774969866       -1815.35266574499     
  -1599.03126279160       -1407.45238075702       -1239.42774110723     
  -1090.31488077827       -959.279953734814       -844.064057221037     
  -743.813176996714       -664.864153459709       -664.835986290527     
  -743.730863939292       -843.927798283823       -959.089261214690     
  -1090.06796941413       -1239.12208768228       -1407.08432770781     
  -1598.59682774632       -1814.84674161883       -2061.22451791650     
  -2346.75429047897       -2662.90848327918       -3022.38336436190     
  -3437.47168469127       -3902.84289080545       -4429.99969495671     
  -5044.38568846000       -5727.28927758655       -6503.81327104308     
  -7274.74959322565       -7281.80036721144       -6549.52100473646     
  -5788.10381643905       -5117.76819361694       -4537.91614461236     
  -4018.60259918951       -3555.02654465949       -3197.64150539482     
  -3197.63934550769       -3555.02028271438       -4018.59243925089     
  -4537.90229878511       -5117.75084177342       -5788.08316019835     
  -6549.49722231162       -7281.77398777469       -7236.29420534107     
  -6237.45893167761       -5252.51407974176       -4428.18253283571     
  -3743.64331961962       -3150.10212699398       -2660.71294101221     
  -2244.69206043561       -1892.49062134072       -1597.65773086186     
  -1346.97261601489       -1161.02767712270       -1161.02592273018     
  -1346.96759927526       -1597.64967139056       -1892.47973725670     
  -2244.67856641692       -2660.69702316870       -3150.08393222621     
  -3743.62306341951       -4428.16029124552       -5252.49003347552     
  -6237.43321453586       -7236.26746552174       -7281.74558189299     
  -6549.46682020138       -5790.53464011241       -5130.51674084742     
  -4539.69870649976       -4018.55431074067       -3554.97978939859     
  -3148.64995929593       -2788.42755363846       -2469.44473236788     
  -2187.29150396646       -1935.44313096077       -1712.25943907813     
  -1517.99199111603       -1342.91915069449       -1188.31882072070     
  -1052.37951850562       -931.856578284909       -824.674526839619     
  -730.597900858485       -646.361707650952       -572.617609713637     
  -506.608171133153       -448.722877629066       -397.167445959440     
  -351.699609533046       -311.368259993446       -275.644343958071     
  -243.973964070491       -215.979717554399       -191.274371895714     
  -169.354733459805       -149.893009346109       -132.682501898471     
  -117.516137242209       -104.009269493222       -92.0736446670212     
  -81.5433514623818       -72.1731371054757       -63.8910241431268     
  -56.5741366431902       -50.0854746742023       -44.3365452230018     
  -39.2561863819276       -34.7597648571608       -30.7674338195622     
  -27.2376231196208       -24.1182414451835       -21.3487816386473     
  -18.9011511295789       -16.7355798977183       -14.8146306790467     
  -13.1161832676826       -11.6125493167679       -10.2800201323290     
  -9.10114099170371       -8.05801941729518       -7.13348024328199     
